record_type,id,edge_id,seq,from_node,to_node,x,y,z,s_local,s_route,road_width,next_edge_ids,prev_edge_ids,is_route,is_goal,route_edge_ids,goal_edge_id,goal_x,goal_y,name,value,text
meta,,,,,,,,,,,,,,,,,,,,source,rotery_road_create.py,
meta,,,,,,,,,,,,,,,,,,,,description,,roundabout upper exit
meta,,,,,,,,,,,,,,,,,,,,wp_scale,1.0,
meta,,,,,,,,,,,,,,,,,,,,road_width,0.63,
meta,,,,,,,,,,,,,,,,,,,,xy_swapped,true,
route,,,,,,,,,,,,,,,,1|2|5,5,0.0,4.242640687,,,
node,1,,,,,0.0,0.0,0,,,,,,,,,,,,,,
node,2,,,,,0.24063553882797,1.106626243668524,0,,,,,,,,,,,,,,
node,3,,,,,0.53896684430245,2.220013833187635,0,,,,,,,,,,,,,,
node,4,,,,,-0.53896684430245,2.220013833187635,0,,,,,,,,,,,,,,
node,5,,,,,0.0,4.242640687,0,,,,,,,,,,,,,,
edge,1,1,,1,2,,,,,,0.63,2,,1,0,,,,,entry,,
edge,2,2,,2,3,,,,,,0.63,3|5,1|4,1,0,,,,,round_upper,,
edge,3,3,,3,4,,,,,,0.63,4|6,2,0,0,,,,,round_lower,,
edge,4,4,,4,2,,,,,,0.63,2,3,0,0,,,,,round_loop,,
edge,5,5,,3,5,,,,,,0.63,,2,1,1,,,,,upper_exit,,
edge,6,6,,4,5,,,,,,0.63,,3,0,0,,,,,lower_exit,,
edge_point,,1,0,,,0.0,0.0,0,0.0,,0.63,,,,,,,,,entry,,
edge_point,,1,1,,,0.120317769413985,0.553313121834262,0,0.566243566348205,,0.63,,,,,,,,,entry,,
edge_point,,1,2,,,0.24063553882797,1.106626243668524,0,1.132487132696409,,0.63,,,,,,,,,entry,,
edge_point,,2,0,,,0.24063553882797,1.106626243668524,0,0.0,,0.63,,,,,,,,,round_upper,,
edge_point,,2,1,,,0.297342057528109,1.130114852789085,0,0.061378693546766,,0.63,,,,,,,,,round_upper,,
edge_point,,2,2,,,0.351785623630417,1.158456379416482,0,0.122757387093531,,0.63,,,,,,,,,round_upper,,
edge_point,,2,3,,,0.403551888722929,1.191435127419999,0,0.184136080640297,,0.63,,,,,,,,,round_upper,,
edge_point,,2,4,,,0.452246880270968,1.228800108614217,0,0.245514774187063,,0.63,,,,,,,,,round_upper,,
edge_point,,2,5,,,0.497499999986012,1.270266952930654,0,0.306893467733829,,0.63,,,,,,,,,round_upper,,
edge_point,,2,6,,,0.53896684430245,1.315520072645698,0,0.368272161280594,,0.63,,,,,,,,,round_upper,,
edge_point,,2,7,,,0.576331825496667,1.364215064193737,0,0.42965085482736,,0.63,,,,,,,,,round_upper,,
